explanation,classified_category
"According to Source of Aid 1, Denmark provides Ukraine with a number of weapons and ammunition in its 9th military aid package. The pledge also includes DKK 100 million provided through NATO (reported below). The package is worth DKK 1 billion, which falls under the 2023 Ukraine Fund framework. We account for DKK 900 mil. here, subtracting the contrubution through NATO. Source of Aid 2 states that Denmark has provided 2000 155mm shells to Ukraine. We report this value here, as this item has not been committed or disclosed in another package.",Ammunition & Explosives
"According to Source of Aid 1, Denmark provides Ukraine with a number of weapons and ammunition in its 9th military aid package. The pledge also includes DKK 100 million provided through NATO (reported below). The package is worth DKK 1 billion, which falls under the 2023 Ukraine Fund framework. We account for DKK 900 mil. here, subtracting the contrubution through NATO. Source of Aid 2 states that Denmark has provided 2000 155mm shells to Ukraine. We report this value here, as this item has not been committed or disclosed in another package.",Ammunition & Explosives
"According to Source of Aid 1, Denmark provides Ukraine with a number of weapons and ammunition in its 9th military aid package. The pledge also includes DKK 100 million provided through NATO (reported below). The package is worth DKK 1 billion, which falls under the 2023 Ukraine Fund framework. We account for DKK 900 mil. here, subtracting the contrubution through NATO. Source of Aid 2 states that Denmark has provided 2000 155mm shells to Ukraine. We report this value here, as this item has not been committed or disclosed in another package.",Ammunition & Explosives
"According to Source of Aid 1, Denmark provides Ukraine with a number of weapons and ammunition in its 9th military aid package. The pledge also includes DKK 100 million provided through NATO (reported below). The package is worth DKK 1 billion, which falls under the 2023 Ukraine Fund framework. We account for DKK 900 mil. here, subtracting the contrubution through NATO. Source of Aid 2 states that Denmark has provided 2000 155mm shells to Ukraine. We report this value here, as this item has not been committed or disclosed in another package.",Ammunition & Explosives
"According to Source of Aid 1, Denmark provides Ukraine with a number of weapons and ammunition in its 9th military aid package. The pledge also includes DKK 100 million provided through NATO (reported below). The package is worth DKK 1 billion, which falls under the 2023 Ukraine Fund framework. We account for DKK 900 mil. here, subtracting the contrubution through NATO. Source of Aid 2 states that Denmark has provided 2000 155mm shells to Ukraine. We report this value here, as this item has not been committed or disclosed in another package.",Ammunition & Explosives
"Together with Denmark, the Netherlands is to purchase 14 Leopard 2 A4 tanks for Ukraine. We assume they are to be provided equally (Source 1). On July 25, 2024, the Dutch Ministry of Defense announced that 12 of these tanks have already been shipped to Ukraine, and the remaining 2 are going to be shipped this summer (Source 2).",Ground Combat
"According to Source of Aid 1, Denmark is sending an economic contribution to Ukraine worth a total of 1.7 billion DKK under its donation package X. The package consists of vehicles, materiel, air defense and ammunition, as well as a contribution to NATO for non-lethal material, which is reported independently. The package is financed under the Ukraine Fund. We subtract the 50 EUR million contribution from the main part of the package because we report it separately.",Air Defense
"According to Source of Aid 1, Denmark is sending an economic contribution to Ukraine worth a total of 1.7 billion DKK under its donation package X. The package consists of vehicles, materiel, air defense and ammunition, as well as a contribution to NATO for non-lethal material, which is reported independently. The package is financed under the Ukraine Fund. We subtract the 50 EUR million contribution from the main part of the package because we report it separately.",Air Defense
"According to Source of Aid 1, Denmark is sending an economic contribution to Ukraine worth a total of 1.7 billion DKK under its donation package X. The package consists of vehicles, materiel, air defense and ammunition, as well as a contribution to NATO for non-lethal material, which is reported independently. The package is financed under the Ukraine Fund. We subtract the 50 EUR million contribution from the main part of the package because we report it separately.",Air Defense
"According to Source of Aid 1, Denmark is sending an economic contribution to Ukraine worth a total of 1.7 billion DKK under its donation package X. The package consists of vehicles, materiel, air defense and ammunition, as well as a contribution to NATO for non-lethal material, which is reported independently. The package is financed under the Ukraine Fund. We subtract the 50 EUR million contribution from the main part of the package because we report it separately.",Air Defense
"According to Source of Aid 1, Denmark is sending an economic contribution to Ukraine worth a total of 1.7 billion DKK under its donation package X. The package consists of vehicles, materiel, air defense and ammunition, as well as a contribution to NATO for non-lethal material, which is reported independently. The package is financed under the Ukraine Fund. We subtract the 50 EUR million contribution from the main part of the package because we report it separately.",Air Defense
"According to Source of Aid 1, Denmark is sending an economic contribution to Ukraine worth a total of 1.7 billion DKK under its donation package X. The package consists of vehicles, materiel, air defense and ammunition, as well as a contribution to NATO for non-lethal material, which is reported independently. The package is financed under the Ukraine Fund. We subtract the 50 EUR million contribution from the main part of the package because we report it separately.",Air Defense
